Codename,Title,Actively Bug-Fixed by,Actively Maintained by,Notes,Non-bundled addon,Testing automation
currency_codes,ISO currencies (internal list),Composr Core Development Team,,Could potentially break due to political changes.,No,async_tests/_api_currency automated test.
country_codes,ISO countries (internal list) and flag images,Composr Core Development Team,,Could potentially break due to political changes.,No,
currency,Currency conversion,Composr Core Development Team,,Could potentially break due to third-party changes.,No,
stop_forum_spam,Stop Forum Spam integration,Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,No,async_tests/antispam automated test.
tornevall,Tornevall integration,Composr Core Development Team,,Could potentially break due to third-party changes.,No,async_tests/antispam automated test.
newsletter_spam_check,Postmark spam-check integration,Composr Core Development Team,,Could potentially break due to third-party changes.,No,async_tests/newsletters automated test.
geocoding_google,Google Geocoding (forward and reverse),,,Not regularly tested due to Google making this a paid service. Could potentially break due to third-party changes.,No,sync_tests/__api_geocoding automated test.
geocoding_bing,Bing Geocoding (forward and reverse),Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,No,sync_tests/__api_geocoding automated test.
geocoding_mapquest,MapQuest Geocoding (forward and reverse),Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,No,sync_tests/__api_geocoding automated test.
ip_geocoding,IP address geocoding (internal list),Composr Core Development Team,Composr Core Development Team,Could potentially break due to third-party changes.,No,Part of release process / sync_tests/__api_geocoding automated test.
ssl_trust_internal,SSL certificate trust chains (internal list),Composr Core Development Team,,Could potentially break due to third-party changes.,No,Part of release process / sync_tests/__special_links automated test.
taxjar,TaxJar integration for sales tax,Composr Core Development Team,,Could potentially break due to third-party changes.,No,sync_tests/_api_ecommerce_tax automated test.
taxcloud,TaxCloud integration for US sales tax,,,Could potentially break due to third-party changes.,No,sync_tests/_api_ecommerce_tax automated test.
shippo,Shippo integration for shipping calculations,Composr Core Development Team,,Could potentially break due to third-party changes.,No,async_tests/ecommerce_shipping automated test.
eu_digital_tax,Download of EU digital tax rates,Composr Core Development Team,,Could potentially break due to third-party changes.,No,sync_tests/_api_ecommerce_tax automated test.
cloudflare_changes,Cloudflare optimisations (potentially-disruptive optimisations Cloudflare may try and make when proxying the site),"PDStig, LLC","PDStig, LLC",Not regularly Tested.,No,
cloudflare_ip_lists,Cloudflare true IP detection (a list of Cloudflare IPs to trust),Composr Core Development Team,"PDStig, LLC",Not regularly Tested.,No,Part of release process / sync_tests/__special_links automated test / async_tests/cloudflare_ip_range_sync automated test.
non_block_ip_list,Lists of IPs to not block,Composr Core Development Team,,Not regularly Tested.,No,Part of release process / sync_tests/__special_links automated test.
